CMDLINE C:\Users\TutuWork\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 51.824219 1745540166.3371
MEM 51.824219 1745540166.4381
MEM 51.824219 1745540166.5391
MEM 51.824219 1745540166.6399
MEM 51.824219 1745540166.7407
MEM 51.824219 1745540166.8411
MEM 51.824219 1745540166.9421
MEM 51.824219 1745540167.0423
MEM 51.824219 1745540167.1433
MEM 51.824219 1745540167.2441
MEM 52.671875 1745540167.3448
MEM 52.671875 1745540167.4450
MEM 52.675781 1745540167.5452
MEM 52.675781 1745540167.6454
MEM 52.675781 1745540167.7461
MEM 52.675781 1745540167.8473
MEM 52.675781 1745540167.9483
MEM 52.675781 1745540168.0493
MEM 52.675781 1745540168.1501
MEM 52.675781 1745540168.2512
MEM 52.683594 1745540168.3522
MEM 52.683594 1745540168.4533
MEM 52.683594 1745540168.5544
MEM 52.683594 1745540168.6549
MEM 52.683594 1745540168.7554
MEM 52.683594 1745540168.8562
MEM 52.683594 1745540168.9573
MEM 52.683594 1745540169.0583
MEM 52.683594 1745540169.1593
MEM 52.683594 1745540169.2595
MEM 52.683594 1745540169.3603
MEM 52.683594 1745540169.4614
MEM 52.683594 1745540169.5619
MEM 52.683594 1745540169.6622
MEM 52.683594 1745540169.7628
MEM 52.683594 1745540169.8634
MEM 52.683594 1745540169.9643
MEM 52.683594 1745540170.0648
MEM 52.687500 1745540170.1653
MEM 2.554688 1745540170.2699
